design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT (wrong order),True,0.7,0,0.46486286120820514,0.672421346620168,0.006038713543753598,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,1,0.3924234636023718,0.6130768116459742,0.007554587738916179,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,2,0.4637905200479079,0.6902738856717094,0.006480112782933261,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,3,0.39842434305749885,0.6203228288283624,0.00632269281362647,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,4,0.474547673729347,0.6904367783817464,0.005783353092279297,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,5,0.42838311143209706,0.663113246195365,0.005984944439095329,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,6,0.526970574455629,0.7668754492086541,0.006677915362668187,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,7,0.40596713067754414,0.6005430573526644,0.006929702689397339,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,8,0.4359300152871927,0.653288405816947,0.006833712284559398,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,9,0.43181135394199555,0.6518781040444814,0.00676686567875133,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,10,0.40744036680991175,0.6245088846593496,0.006543597823551707,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,11,0.4637857849045668,0.7153913252226038,0.008758220881627187,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,12,0.5044157629019322,0.7498324019967749,0.006890940960472854,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,13,0.3883021648134173,0.6127350142482,0.00763654550014444,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,14,0.49683172829090483,0.7305176748887606,0.007705057190299274,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,15,0.38381601449189007,0.6448670743032292,0.005721934406813382,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,16,0.536620838460415,0.7856510954537714,0.006595317604284667,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,17,0.4629329277152703,0.6690539679143888,0.005393141626730904,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,18,0.46183085045361444,0.6785600925051554,0.006482209561630819,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.7,19,0.43345026835063644,0.678235418555664,0.004369582966987156,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,0,0.4745059288856562,0.6903659530528575,0.008397163084765446,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,1,0.4022090650970827,0.615741238227326,0.009080104240360147,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,2,0.46507471169945597,0.6934090014656684,0.0054531187318242295,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,3,0.4125036711883678,0.631039712901156,0.005559667057061404,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,4,0.4775011089668627,0.694472391250808,0.006768712293885108,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,5,0.4195492192030844,0.6653225675700455,0.007116271115854296,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,6,0.5365160257008592,0.7849756502003545,0.006032371551293449,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,7,0.4116897352158286,0.615485198175373,0.008004929342717593,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,8,0.42930925589915764,0.6523215258228191,0.006847398254609662,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,9,0.44874911529063205,0.6660093346864869,0.006203546448186769,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,10,0.41210211688654924,0.627901791139566,0.00786184983124384,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,11,0.4706606129065645,0.7132616130653735,0.008936574524139238,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,12,0.5143594024305902,0.7601684710124088,0.008492195421169961,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,13,0.4020801278867669,0.6262258318986881,0.008735956235733826,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,14,0.4779437705036993,0.7073172728755404,0.007301118181778559,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,15,0.4011421335822419,0.6666173475617236,0.006011802595629063,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,16,0.5262375726561086,0.7682999927508106,0.007529391087528367,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,17,0.4650430959560516,0.6762071363687064,0.00566700669868469,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,18,0.4540468427966625,0.6810869845441996,0.006247504425972024,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.9,19,0.42622375827062353,0.6708368849122673,0.005872168780767538,seqot_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,0,0.09113793820142746,0.21457558870315552,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,1,0.05149049684405327,0.15221208333969116,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,2,0.031077545136213303,0.21829278767108917,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,3,0.09634851664304733,0.14959600567817688,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,4,0.11163385212421417,0.21038565039634705,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,5,7.3647379875183105,10.437978744506836,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,6,0.01667841710150242,0.09009673446416855,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,7,0.11136846244335175,0.18151915073394775,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,8,0.39139777421951294,0.8225343823432922,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,9,0.0957392230629921,0.179273322224617,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,10,0.06973506510257721,0.2165483832359314,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,11,0.03460199758410454,0.2918868064880371,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,12,0.08119495958089828,0.1724739670753479,0.0,cocycle_results_chain.pt
design_i,cocycles,Cocycles,False,0.1,13,0.19097119569778442,0.3140724003314972,0.0,cocycle_results_chain.pt
